KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
dlgTCHolyStatue,Oh {PlayerName}. I see you have the holy statue of our people. Do you want to give it to me?,,Oh {PlayerName}. Je vois que vous avez la sainte statue de notre peuple. pouvez-vous nous la rendre?,,,,,,,,,,,,,,
dlgTCBadRepu,"You need a friendly reputation or better with the Talon, then I will talk to you.",,"Vous avez besoin d'une réputation amicale ou meilleure avec le Talon, alors je vous parlerai.",,,,,,,,,,,,,,
dlgTCTellMeStory,Tell me the story of your people,,Racontez-moi l'histoire de votre peuple,,,,,,,,,,,,,,
dlgTCGreetings,Greetings {PlayerName}. What do you want from me?,,Salutations {PlayerName}. Qu'est-ce que tu veux de moi?,,,,,,,,,,,,,,
txt_mWeCe,Welcome {PlayerName} to a round of cards!,,Bienvenue {PlayerName} pour une partie de cartes !,,,,,,,,,,,,,,
txt_UGmuO,Card Dealer,,Concessionnaire de cartes,,,,,,,,,,,,,,
txt_mq8OK,We will play for <color=#fddc1e>gold coins</color>.\nHow many <color=#fddc1e>gold coins</color> do you want to bet?,,Nous jouerons pour les <color=#fddc1e>pièces d'or</color>.\nCombien de <color=#fddc1e>pièces d'or</color> voulez-vous parier ?,,,,,,,,,,,,,,
txt_4WUCq,1 <color=#fddc1e>gold coin</color>,,1 <color=#fddc1e>pièce d'or</color>,,,,,,,,,,,,,,
txt_Zi4Gm,10 <color=#fddc1e>gold coins</color>,,10 <color=#fddc1e>pièces d'or</color>,,,,,,,,,,,,,,
txt_BxmOu,100 <color=#fddc1e>gold coins</color>,,100 <color=#fddc1e>pièces d'or</color>,,,,,,,,,,,,,,
txt_8cmWW,It seems you don't have enough <color=#fddc1e>gold coins</color>...get some and come back. Bye,,Il semble que vous n'ayez pas assez de <color=#fddc1e>pièces d'or</color>... achetez-en et revenez. Au revoir,,,,,,,,,,,,,,
txt_S0uKE,You bet {GoldCoinsPlayerBet} <color=#fddc1e>gold coins</color> and I will also bet {GoldCoinsPlayerBet} <color=#fddc1e>gold coins</color>. \n\nYour first card is <color=#019245><b>{PlayerCards}</b></color>.,,Vous pariez {GoldCoinsPlayerBet} <color=#fddc1e>Pièces d'or</color> et je parie également {GoldCoinsPlayerBet} <color=#fddc1e>Pièces d'or</color>. \n\nVotre première carte est <color=#019245><b>{PlayerCards}</b></color>.,,,,,,,,,,,,,,
txt_aqCI0,Do you want another card?,,Voulez-vous une autre carte?,,,,,,,,,,,,,,
txt_GiiaK,Yes,,Oui,,,,,,,,,,,,,,
txt_8OGas,No,,Non,,,,,,,,,,,,,,
txt_GaeK3,Your next card is <color=#019245><b>{NextCard}</b></color>. \nNow you have <color=#fd9b00><b>{PlayerCards}</b></color> in total!,,Votre prochaine carte est <color=#019245><b>{NextCard}</b></color>. \nVous avez maintenant <color=#fd9b00><b>{PlayerCards}</b></color> au total !,,,,,,,,,,,,,,
txt_G0Fqm,<color=#cf0707>You lost!</color>,,<color=#cf0707>Vous avez perdu !</color>,,,,,,,,,,,,,,
txt_O4W4q,My first card is a <color=#019494>{DealerCards}</color>,,Ma première carte est une <color=#019494>{DealerCards}</color>,,,,,,,,,,,,,,
txt_0CqKm,My next card is <color=#019494>{DealerNewCard}</color>.   Now I have <color=#019494><b>{DealerCards}!</b></color>,,"Ma prochaine carte est <color=#019494>{DealerNewCard}</color>. Maintenant, j'ai <color=#019494><b>{DealerCards} !</b></color>",,,,,,,,,,,,,,
txt_40jMG,<color=#019245><b>You won! </b></color>Here take your <color=#fddc1e>{2*GoldCoinsPlayerBet} gold coins</color>!,,<color=#019245><b>Vous avez gagné ! </b></color>Ici prenez vos <color=#fddc1e>{2*GoldCoinsPlayerBet} pièces d'or</color> !,,,,,,,,,,,,,,
txt_8mhiq,You have <color=#fd9b00>{PlayerCards}</color>. <color=#ff0000>You lost!</color>,,Vous avez <color=#fd9b00>{PlayerCards}</color>. <color=#ff0000>Vous avez perdu !</color>,,,,,,,,,,,,,,
txt_8Ujii,You have <color=#019245>won {TotalGamesWon}</color> and <color=#cf0707>lost {TotalGamesLost}</color> <color=#cf0707></color>games in this session so far.\nDo you want to play again?,,"Jusqu'à présent, vous avez <color=#019245>gagné {TotalGamesWon}</color> et <color=#cf0707>perdu {TotalGamesLost}</color> <color=#cf0707></color>jeux dans cette session.\nÀ faire tu veux rejouer ?",,,,,,,,,,,,,,
txt_vmOu4,Yes,,Oui,,,,,,,,,,,,,,
txt_8Oiie,No,,Non,,,,,,,,,,,,,,
txt_O8CaF,Come back soon! Bye.,,Reviens bientôt! Au revoir.,,,,,,,,,,,,,,
